inst  m      l     greedy      mh          ag
18    1000   300   48422690    48421018    50175397
19    1000   300   48633933    48631250    50193931
20    1000   300   48498361    48494525    50151139
21    1000   300   48483927    48481160    50175622
22    1000   300   48455310    48454259    50071089
23    1000   300   48513623    48513371    50231731
24    1000   300   48547498    48547498    50230932
25    1000   300   48542013    48540742    50165492
26    1000   300   48534133    48533816    50211242
27    1000   300   48487565    48486646    50171700
28    1000   300   48525094    48523790    50239193
29    1000   300   48523629    48520973    50205557
30    1000   300   48549690    48548547    50212264
31    1000   300   48566070    48563268    50223588
32    1000   300   48498396    48496828    50225427
33    1000   300   48418438    48417086    50105387
34    1000   300   48555653    48554287    50213557
35    1000   300   48503218    48499933    50181567
36    1000   300   48388158    48387349    50147719
37    1000   300   48451487    48450394    50234670
38    1000   300   48369068    48368117    50234313
39    1000   300   48407598    48406481    50121834
40    1000   300   48548207    48548207    50221638
41    1000   300   48519682    48518600    50193128
42    1000   300   48520476    48518417    50181764
43    1000   300   48496033    48494676    50170624
44    1000   300   48524201    48522282    50164762
45    1000   300   48457991    48456827    50182270
46    1000   300   48520514    48518984    50220607
47    1000   300   48546089    48544802    50184247
48    1000   300   48541924    48539545    50205741
49    1000   300   48560392    48559383    50155828
50    1000   300   48424544    48421606    50124025
51    1000   300   48498221    48496364    50174471
52    1000   300   48610445    48608725    50218442
53    1000   300   48481781    48480710    50130162
54    1000   300   48494803    48493120    50168207
55    1000   300   48508004    48506841    50236791
56    1000   300   48492410    48489657    50129402
57    1000   300   48504276    48502974    50185638
58    1000   300   48488559    48487961    50261925
59    1000   300   48398473    48397022    50154053
60    1000   300   48578931    48578229    50114463
61    1000   300   48432405    48431662    50133259
62    1000   300   48501887    48501144    50238088
63    1000   300   48475372    48473905    50237906
64    1000   300   48527481    48526121    50134829
65    1000   300   48522411    48519602    50192360
66    1000   300   48506275    48504728    50193707
67    1000   300   48555014    48553871    50190245
68    1000   300   48475286    48474444    50233180
69    1000   300   48457847    48457807    50129845
70    1000   300   48483989    48483989    50117456
71    1000   300   48467145    48466709    50147581
72    1000   300   48407101    48406054    50220194
73    1000   300   48564744    48564084    50207303
74    1000   300   48436572    48435259    50230539
75    1000   300   48500350    48498533    50219355
76    1000   300   48422307    48421545    50078625
77    1000   300   48459501    48459194    50084134
78    1000   300   48580132    48577520    50179291
79    1000   300   48461628    48459566    50196339
80    1000   300   48449067    48447250    50112409
81    1000   300   48506666    48503458    50223791
82    1000   300   48561351    48560423    50210051
83    1000   300   48585269    48584617    50209956
84    1000   300   48424823    48423371    50223457
85    1000   300   48562485    48561658    50220638
